"Title","ID","Page Types","slug","Author","pageOwner","Methods","Domains","Person","Project","Organisation","Files","Internal Links","Description","Country Tag","Activity","Person Type","Person Project Coordonation","Person Project Participation","Person Organisation","Person Organisation Roles","Person Organisation - Former","Person Organisation Roles Former","External Links","Organisation Type","Organisation Project","Organisation Project Roles","Organisation People","Organisation People Roles","Organisation Has Member","Organisation Member Of","Organisation Established Date","Project Funded","Project Coordinator","Project Participant Team","Project Organisation","Project Organisation Roles","Project Start Date","Project End Date","Post Content Rich 1","Post Content Rich 2","Post Content Rich 3","Post Content Rich 4","Post Content Rich 5","Post Content Rich 6","Post Content Rich 7","Post Content Rich 8","Post Content Rich 9","Post Content Rich 10","Post Image 1","Post Image 2","Post Image 3","Post Image 4","Post Image 5","Post Image 6","Post Image 7","Post Image 8","Post Image 9","Post Image 10","Media Files","HomePageConfig_featuredOrganisations","HomePageConfig_featuredProjects","HomePageConfig_featuredPeople","Linkedin Link","Website Link","Research Gate Link","ORCID Link","Created Date","Updated Date","Owner"
"Stavros Mantzanakis","9c2441d6-9108-45a5-894c-47a53969780a",,"stavros-mantzanakis-m2yth","[""9c57460e-ceb5-4eac-88e2-987c58d21415""]","[""9c57460e-ceb5-4eac-88e2-987c58d21415""]",,,"[""9c57460e-ceb5-4eac-88e2-987c58d21415""]",,,,,"<p></p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2024-11-29T09:29:49Z,2024-11-29T09:29:49Z,"278fc222-4b82-4cd6-ad1a-d8a993e9b214"
"Rodrigo Fernández García","9c944f84-6d7f-403e-8fc1-08741215d139","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","rodrigo-fernndez-garca-fltwg","[""33fc8532-d490-4d9d-9218-e180632b31b3""]","[""33fc8532-d490-4d9d-9218-e180632b31b3""]","[""3c4917d4-7467-4fef-a6a3-af7b61b9e196"",""b1d63812-7f03-4fa0-bfc7-b8d89363baa8"",""62ab648a-382e-45eb-8833-bc7f49f9b53a"",""932d682a-b111-46b2-b6a5-aade8c598da6"",""310e47a9-a0b4-44ec-b8ec-c6e01648d9f7"",""f0c6523a-d803-4dc9-83ad-b5415d395997"",""dda76cda-872f-4340-9052-b1db8dec90f8"",""8e33b625-2cdf-4e19-bd56-6c032da33926"",""6cef96c8-0acd-4cb2-bda9-ce095d8ef111"",""475c850e-d389-4122-97b9-c5fec1771fb9"",""d891b656-e466-4d71-818d-f0bad2c33baa"",""3797438d-d617-4a6d-930f-8bd031377ed8"",""8260e60e-4f28-4cf8-9699-8f212ac318da""]","[""9fc4e030-af14-4758-b196-a6e944f572a4"",""b43f4e42-15ce-4719-8df3-9aec8bf5fcdb"",""6f7469f2-f328-4a77-9090-123cb9fd5de4"",""368ca20a-2c71-4b52-887c-eb44b0782b61"",""06d3bcfb-31b8-4df1-ae21-9828715a6ef8"",""e429e216-901f-4516-9e2f-3de284688a2a"",""3856c25c-1224-40d0-bae6-666c37eec97e"",""2d21aff6-1630-449f-b501-9cd88200fb21"",""419d1185-b43e-4d88-854b-14bb759eb2bc"",""bfc7cfd5-fbe5-43e4-a466-e5329b0e0408"",""6fd3da55-4094-4d1b-8385-b1a5125ff7b1"",""0dd4ab14-d617-4dc1-9516-679e36be0688"",""1937af02-4903-4831-ad97-5ebc8ed6d467"",""b6240432-95b4-48e6-a246-833f90458ccf""]","[""33fc8532-d490-4d9d-9218-e180632b31b3""]",,,,,"<p></p>
","[""9a950cb8-7b45-412c-9b50-9b326292e09e""]","[""c48dc03b-8b35-4b17-805d-d3750d17568f"",""74fbdf38-08bf-4cf3-8098-17cc3c6e78f6"",""7eab6072-16a2-4552-9c1c-302872015bf9"",""f9bcbe1f-25f5-444b-8382-3d4034c78d25""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2025-11-20T21:02:24Z,2025-11-20T21:06:32Z,"d110babc-2e6f-4431-930f-9f29e7f10e93"
"Ollie Bream McIntosh","9cb23b1e-1b6b-49a7-9235-0b55899695c7","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","ollie-bream-mcintosh-zdgl4","[""c835d4e4-a984-45df-bdc8-422ea28bf5b9""]","[""c835d4e4-a984-45df-bdc8-422ea28bf5b9"",""d5357589-65fd-456f-a506-7a4d1275451c"",""79e69062-1f22-4acd-bd5c-b4b0f17a3dad""]",,,"[""c835d4e4-a984-45df-bdc8-422ea28bf5b9""]",,,,,"<p></p>
","[""3cf5f1b1-e9af-498c-a981-2c9eff9da408""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,"https://www.linkedin.com/in/olliebm/",,,,2024-11-18T16:10:30Z,2024-12-27T00:37:08Z,
"Peter Varnai","9d1c4dc5-f1f6-47d3-a628-e7193ea5afe8","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","peter-varnai-mgfgw","[""7ea492a2-6d48-43ba-8557-df4e501e62a3""]","[""7ea492a2-6d48-43ba-8557-df4e501e62a3""]",,"[""255f22bd-fa84-4b93-a1f3-df2944b48ffa"",""6f7469f2-f328-4a77-9090-123cb9fd5de4"",""414e11bd-1c1c-4d88-b63e-f24a3b2c711a""]","[""7ea492a2-6d48-43ba-8557-df4e501e62a3""]",,,,,"<p>I am a chemical engineer by training and was an academic researcher for a (long) while. I am currently Partner at Technopolis Group, responsible for the Health &amp; Life Sciences thematic unit there. I have a broad interest in exploring better ways to enhance the value of science programmes through policy, and very much enjoy working across different fields. Most of my projects involve evaluations of public research programmes and legislations, but I have also conducted strategic and foresight studies. Some of the recent topics include biomedical research &amp; innovation, global health security, pharmaceutical innovation &amp; access to medicine, healthy ageing, and mental health.&nbsp;&nbsp;</p>
","[""4f54955a-fc9f-4d1b-9058-88ddb2835ee2""]","[""01f60d9e-63a4-454e-b358-9e70da19be08""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2025-01-17T11:56:46Z,2025-01-17T16:13:39Z,"88313893-e700-488a-a5ef-801b17766645"
"The EU as a Global Actor in 2040","9d68416d-78c5-4580-9b81-2e6bfbf4751f","[""fcb0cbbc-98a5-4743-8c8b-1cb1c8326a85""]","the-eu-as-a-global-actor-in-2040-0nf2c","[""cbe63717-6db0-4f50-8931-e38c37fd0c23""]","[""cbe63717-6db0-4f50-8931-e38c37fd0c23""]","[""932d682a-b111-46b2-b6a5-aade8c598da6"",""46852406-fd55-4a9a-8222-d91c3595110a"",""58e4467f-804c-4ed1-8820-32d5443dd866""]",,,"[""5287628e-62a5-4a91-a210-ef6824f245c9""]",,,,,"[""24e5e426-7a0f-46eb-80e5-f4f6c46bdfff""]",,,,,,,,,,,,,,,,,,,,,,,,,"<p>Wondering about the European Union's future role on the world stage? 🇪🇺 On behalf of the Federal Foreign Service of Germany, the DLR-PT conducted a Strategic Foresight Workshop including a Futures Literacy Lab on the topic 'The European Union as a global actor in 2040?'! Together with experts and Federal Foreign Office staff, the DLR-PT explored innovative ways of thinking about the futures.&nbsp;</p>
","<p>Booklet on the Strategic Foresight Workshop</p>
","<p></p>
",,,,,,,,"{""url"":""https://0bbe2e34-e503-441a-af9e-4fc70c17e6af.usrfiles.com/ugd/471908_819152d756e3495c9f3e33233d6e1f15.pdf"",""caption"":""""}","{""url"":"" "",""caption"":""""}",,,,,,,,,"[{""displayName"":""Booklet on the Strategic Foresight Workshop"",""url"":""https://0bbe2e34-e503-441a-af9e-4fc70c17e6af.usrfiles.com/ugd/471908_6b4c7c20f1f444beb541ff8ae49cf9f5.pdf"",""fileName"":""AA DLR-PT Strategic Foresight Workshop.pdf"",""thumbnail"":""https://static.wixstatic.com/media/471908_3699806a67de40dab66dccd402f941a9~mv2.jpeg"",""sizeInBytes"":""3865674"",""type"":""document""},{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2024-11-25T13:16:40Z,2025-02-17T08:45:33Z,"3ab06bc2-f96d-474c-9d40-cf18193d317e"
"RIFI - Research Infrastructures: Foresight & Impact","9e32332f-02ea-4c2d-8986-1bfeeb22bf2f",,"rifi-research-infrastructures-foresight-impact-q7vwc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-02-28T22:00:00.000Z","2011-04-30T21:00:00.000Z","<p>RIFI objectives are:</p>
<ul>
<li>to create a methodology for evaluation of the socio-economic impact of investments in RIs,&nbsp;</li>
<li>to test and improve the elaborated methodology based on its application to several case studies in Romania and Bulgaria (at all the three levels of investment: pan European, regional and national),&nbsp;</li>
<li>to complement the methodology through integrating foresight, and to elaborate on the role of foresight for identifying RI investment opportunities.&nbsp;</li>
</ul>
","<p>The RIFI methodological tool is especially important for the new EU member states, the remote islands of EU, and other countries with similar profiles with Romania and Bulgaria (e.g. from the Black Sea Region). The methodology will be a powerfull decision tool both for developing and adjusting the European policies related to RIs, and for pre-assement of certain RI investments.</p>
","<p></p>
",,,,,,,,"{""url"":""https://static.wixstatic.com/media/471908_c391cc31d46a4acbacd514830fb07b4a~mv2.png"",""caption"":""""}","{""url"":"" "",""caption"":""""}",,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2024-12-09T12:17:36Z,2024-12-09T12:17:36Z,"d3268e01-e2ba-455a-81c4-d86515cf97f8"
"ESPAS Horizon Scanning","9e5cd289-31f1-41bd-9343-3b2874804071","[""fcb0cbbc-98a5-4743-8c8b-1cb1c8326a85""]","espas-horizon-scanning-9rfpb","[""2ce1087f-b775-422f-83b5-e222995e1fbc""]","[""2ce1087f-b775-422f-83b5-e222995e1fbc""]","[""b1d63812-7f03-4fa0-bfc7-b8d89363baa8""]","[""96eac4f5-c18b-4b73-a6fb-9c0ea2b5740c""]",,"[""768d06d7-153a-4f32-9988-b7fe13bb28c9""]",,,,,"[""e1b13728-5253-484b-92d6-0c451813adff""]",,,,,,,,,,,,,,,,,,"[""f80d06e4-b326-4364-b250-0afa1fc777f3""]",,"[""fbae3b6f-7629-4661-8cbf-6f49b1653601"",""2ce1087f-b775-422f-83b5-e222995e1fbc"",""ec2336a9-2e82-4420-b6eb-3dae67a3b2f0""]","[""25f6994f-107f-4970-a67b-65e1abc8b9e2"",""f85b3c01-69e8-4688-8766-14c3910bea1b""]","[{""organisation"":""ESPAS"",""role"":""""},{""organisation"":""Joint Research Center"",""role"":""""},{""organisation"":"""",""role"":""""}]",,,"<p>The ongoing inter-institutional European Strategy and Policy Analysis System (ESPAS) <a href=""https://espas.eu/horizon.html"" target=""_blank"">Horizon Scanning</a> activity is led since  2022 by the Joint Research Centre of the European Commission and the European Parliamentary Research Services. An iterative methodology is rolled out at three successive levels, involving experts in a variety of policy areas and across several EU institutions.</p>
<p><br>Firstly, at the outset, this exercise builds a wider EU community engaged in horizon scanning. Their task at a first level has involved looking for future developments that sit at the margins of current thinking and planning, the so-called ‘signs of new’.</p>
<p><br>Secondly, sense-making workshops are organised on a monthly basis to consider through new lenses the identified ‘signs of new’ collected over the month and find links and interconnections among them across policies and sectors. The aim of these second-level workshops is thus to imagine possible impactful future developments, ‘signals of change’, using the collected signs as prompts.<br></p>
","<p>Thirdly, future impact workshops, conceived as exploratory and prioritisation workshops are organised after conducting a few sense-making workshops. These workshops also include the participation of officials across all ESPAS institutions and aim to prioritise the three potentially most impactful ‘signals of change’ from among those identified at an earlier stage.<br>This careful process results in Horizon Scanning newsletters providing a broader perspective on policy making.</p>
<p>Read the latest newsletters here: <a href=""https://espas.eu/horizon.html#Publications"" target=""_blank"">Horizon Scanning | ESPAS</a></p>
<p><a href=""https://policy-lab.ec.europa.eu/news/spotting-future-how-horizon-scanning-can-help-shape-eu-policy-2024-01-19_en"" target=""_blank"">See also blog post describing the project and its role in EU : Spotting the Future: How Horizon Scanning can help shape EU Policy - European Commission (europa.eu)</a>&nbsp;</p>
<p>ESPAS Horizon Scanning feeds to other ESPAS projects. Read the <a href=""https://espas.eu/gtr.html"" target=""_blank"">Global Trends Reports</a>  published every five years.</p>
<p><strong>Partners:</strong></p>
<p>European Strategy and Policy Analysis System (ESPAS)<br>Joint Research Centre of the European Commission (JRC) <br>European Parliamentary Research Services (EPRS)</p>
<p></p>
","<p></p>
",,,,,,,,"{""url"":""https://static.wixstatic.com/media/471908_8525886be7c745a59895848e56376a6f~mv2.webp"",""caption"":""""}","{""url"":"" "",""caption"":""""}",,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2024-10-22T13:00:57Z,2025-03-07T13:14:23Z,"89c27159-d0d6-4d08-bdc0-ea92984d69a8"
"Amos Taylor","9f8db6ca-f6be-4f3c-a587-1a6c5ca9f732","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","amos-taylor-rlcjc",,,"[""3c4917d4-7467-4fef-a6a3-af7b61b9e196"",""5debdc5d-652a-4130-a24b-49a3ec66ee66"",""6c84e284-84b3-49dd-938d-3a5d8a9f7259"",""f0c6523a-d803-4dc9-83ad-b5415d395997"",""d4dce5a9-3a98-4dab-8dc7-a73d3136ad8c"",""62ab648a-382e-45eb-8833-bc7f49f9b53a"",""475c850e-d389-4122-97b9-c5fec1771fb9"",""3797438d-d617-4a6d-930f-8bd031377ed8""]","[""6f7469f2-f328-4a77-9090-123cb9fd5de4"",""efa0e29d-99f2-4ffd-b390-9d3ba0b78bbe"",""9fc4e030-af14-4758-b196-a6e944f572a4"",""24128150-b6df-4336-90c9-961b7d6b4aa4"",""521a6898-c0ba-4866-a760-904f5ef0da78"",""2d21aff6-1630-449f-b501-9cd88200fb21""]",,,,,,"<p>Please feel free to contact.&nbsp;</p>
","[""640a7a20-7496-4b99-b7b9-49902028b577""]","[""c48dc03b-8b35-4b17-805d-d3750d17568f"",""0328a866-26be-4e56-a301-4150e8e49637"",""74fbdf38-08bf-4cf3-8098-17cc3c6e78f6""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":""latest paper on Critical Uncertainties"",""url"":""https://0bbe2e34-e503-441a-af9e-4fc70c17e6af.usrfiles.com/ugd/471908_4d238b4ee3f24b478607afdff1b98c83.pdf"",""fileName"":""rse20240006.pdf"",""thumbnail"":""https://static.wixstatic.com/media/471908_40a692458cd84ce090f3a61839c40577~mv2.jpeg"",""sizeInBytes"":""632019"",""type"":""document""},{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2025-01-03T11:38:04Z,2025-01-03T11:38:04Z,"17509def-3264-4901-a64c-389fbb9a4b19"
"NCP4HE","9f92ae95-37c8-4190-84d7-0164b385b821",,"ncp4he-coexm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p></p>
","<p></p>
",,,,,,,,,"{""url"":"" "",""caption"":""""}",,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2024-11-21T09:39:31Z,2024-11-21T09:39:31Z,"14e23981-31d5-4f52-bee8-ddeeed047f11"
"FLOW","a00a7355-daec-4183-8689-092e93fba777","[""fcb0cbbc-98a5-4743-8c8b-1cb1c8326a85""]","flow-l0olb","[""3caf87b9-89d1-4bc4-8723-2e0fefd991e9""]","[""3caf87b9-89d1-4bc4-8723-2e0fefd991e9""]","[""f0c6523a-d803-4dc9-83ad-b5415d395997"",""b1d63812-7f03-4fa0-bfc7-b8d89363baa8"",""268d3167-9d1f-47a4-80a8-bb5ddea9e6bb""]","[""33b27522-1873-45d3-9558-59b8031fcf3f"",""90bd641a-27a2-4f33-8a5e-5d4b6a02d343""]",,"[""bb88f72f-4704-489c-aed6-db779d14e3ae""]",,,,,"[""e1b13728-5253-484b-92d6-0c451813adff""]",,,,,,,,,,,,,,,,,,"[""f80d06e4-b326-4364-b250-0afa1fc777f3""]",,,,,"2022-12-31T23:00:00.000Z","2024-11-30T23:00:00.000Z","<p>Humans establish highly diverse and situated relationships with nature. Over generations, these human-nature relations transform dynamically. In doing so, future imaginaries, expectations and visions accompany our commitment to, action in and representation of nature. Genres such as climate fiction and practices such as ocean clean-ups provide insights into (re-)emerging social, cultural and emotional connections between people and nature.<br><br>Future Lives with Oceans and Waters (FLOW) looks forward and explores changing human-nature relationships in the context of aquatic ecosystems. The transdisciplinary project brings together foresight, research on socio-ecological interactions, marine science and natural resource management with young people from across Europe. FLOW aims to create new knowledge and connections to reinforce a new perception of the importance of aquatic ecosystems in the Anthropocene. To do so, the project combines horizon scanning, ethnographic fieldwork, experiential futures workshops and co-creation in an innovative way. As a Research and Innovation Action, FLOW supports the Restore Our Oceans Mission of the EU.</p>
","<p></p>
",,,,,,,,,"{""url"":"" "",""caption"":""""}",,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2024-12-20T16:19:10Z,2025-01-09T12:26:42Z,"416acc7a-1ddc-4033-aefe-e733f3fce078"
"Sabina Mihailescu","a084d091-d55e-4248-b41e-1958e911e4a2","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","sabina-mihailescu-93pvj","[""63e5d19d-eb35-481e-a957-0d5d71feb1c5""]","[""63e5d19d-eb35-481e-a957-0d5d71feb1c5"",""d5357589-65fd-456f-a506-7a4d1275451c"",""79e69062-1f22-4acd-bd5c-b4b0f17a3dad""]",,,"[""63e5d19d-eb35-481e-a957-0d5d71feb1c5""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-18T16:08:47Z,2024-11-18T16:08:47Z,
"MEGATRENDS 2050. THE CHANGING WORLD","a1300ba8-3fe5-4b15-a895-5f7610f41ed1","[""fcb0cbbc-98a5-4743-8c8b-1cb1c8326a85""]","megatrends-2050-the-changing-world-jc5sk","[""286412e1-f4ba-4fce-8c6c-fbe82ff53747""]","[""286412e1-f4ba-4fce-8c6c-fbe82ff53747""]",,,,"[""d3af95a2-30c9-4e1f-ab4d-3c5391af4f1b""]",,,,,"[""b4f2e746-15b1-49f1-a1f8-3240135e6a1d""]",,,,,,,,,,,,,,,,,,,,"[""286412e1-f4ba-4fce-8c6c-fbe82ff53747"",""a3dbd6e5-8a1a-4dd6-9836-f9dc2c5967fe""]","[""33183905-387a-4f37-b7ce-f6ab2015fa0f"",""16187b18-bc41-46df-90f2-89b82e859937"",""86f7cc23-e789-4cb4-a7f0-8a207a8e1571""]","[{""organisation"":""PlanAPP"",""role"":""Lead""},{""organisation"":""DGPDN"",""role"":""Lead""},{""organisation"":""Origin for Sustainability"",""role"":""""},{""organisation"":"""",""role"":""""}]","2023-05-31T21:00:00.000Z","2025-03-31T21:00:00.000Z","<p>The digital brochure ""Megatrends 2050, Changing World: Impacts on Portugal - a Brief Introduction"" is now available. This is a publication by the Planning and Foresight Services Network of the Public Administration (RePLAN), as part of the activities carried out by the Multisectoral Foresight Team. RePLAN is chaired by the Public Administration Planning, Policy and Foresight Competence Center (PlanAPP), in which the FCT participates.Duration of the study: The project was launched in June 2023 and will be concluded with the launch of the final report in April 2025.<br>The document, available on the PlanAPP website, is a brief introduction to the 2050 Megatrends Report for Portugal, to be published by the end of year 2024. It presents, in a brief and preliminary way, the nine megatrends that are likely to shape the future of our country, with a general description and a list of the most relevant potential impacts: Worsening climate change; Growing pressure on natural resources; Diversifying and changing economic models; Diverging demographic trends; A more urban world; A more digital world; Accelerating technological development; A multipolar world and New challenges to democracy.</p>
","<p>The identification and description of megatrends for Portugal is a work in progress, based on a collaborative, systematic and open process. During this year, with the aim of producing a report and supporting the formulation of public policies, this process will be deepened with workshops, expert consultation and citizen participation. The list of partner institutions may still be extended until the end of the process and does not include the experts from academia and civil society who have been taking part in the workshops and interviews.<br>The list of partner institutions may still be extended until the end of the process and does not include the experts from academia and civil society who have been taking part in the workshops and interviews.</p>
","<p></p>
",,,,,,,,"{""url"":""https://static.wixstatic.com/media/471908_8eac3783385d46b4982c56e833fcf2dd~mv2.webp"",""caption"":""""}","{""url"":"" "",""caption"":""""}",,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2024-10-30T15:32:09Z,2024-12-04T08:21:52Z,"d3268e01-e2ba-455a-81c4-d86515cf97f8"
"Saara Jäämies","a14c5e1d-16d7-4392-a5e8-314975cb7fed","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","saara-jmies-ao1bt","[""07be7475-ed3a-475c-85fa-4fe157729529""]","[""07be7475-ed3a-475c-85fa-4fe157729529""]",,,"[""07be7475-ed3a-475c-85fa-4fe157729529""]",,,,,"<p></p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":""saarajaamiesFI"",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2025-08-06T07:19:13Z,2025-08-06T07:19:13Z,"5571e78a-2113-496c-be2e-eb6d48e7ccfc"
"Stephan Raab","a173bbd2-0e6a-43c5-9506-ed456ab7bb3e","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","stephan-raab-1652u","[""249646b8-b41a-49d8-a727-2d952a45f32d""]","[""249646b8-b41a-49d8-a727-2d952a45f32d""]","[""3c4917d4-7467-4fef-a6a3-af7b61b9e196"",""d86d878d-d647-4b6f-8473-72550e3f34df"",""f17b8201-5b2f-4b91-914e-0d266ea1312a"",""c396378a-bdd0-4426-bb91-308e8bc709e3"",""8d5e88c4-7921-485d-8d25-76de84421ba6"",""932d682a-b111-46b2-b6a5-aade8c598da6""]","[""6f7469f2-f328-4a77-9090-123cb9fd5de4"",""9fc4e030-af14-4758-b196-a6e944f572a4"",""b43f4e42-15ce-4719-8df3-9aec8bf5fcdb"",""b6eb6f2d-beae-4471-b980-95b11d48b675"",""b5791a5e-8819-4afe-b69b-97aaed7f7565""]","[""249646b8-b41a-49d8-a727-2d952a45f32d""]",,,,,"<p>""I'm Stephan Raab—currently employed by Archidiocesis of Bamberg, an institution inspired by tradition, and driven by the future. With a background in think tanks and museums, I blend scenario planning, storytelling, and intercultural dialogue to build bridges between heritage and tomorrow’s possibilities."" Future starts when we get creative thinking about it.&nbsp;</p>
","[""24e5e426-7a0f-46eb-80e5-f4f6c46bdfff""]","[""74fbdf38-08bf-4cf3-8098-17cc3c6e78f6"",""7eab6072-16a2-4552-9c1c-302872015bf9"",""c48dc03b-8b35-4b17-805d-d3750d17568f"",""97c85dd0-f73b-47d8-b6d7-6da45e0cfaf5"",""2576b34f-3641-4a8f-b2d7-282af55a3efa"",""6fe782a4-be1b-4f23-b990-c828eab06793""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":""Stephan Raab"",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2025-05-02T11:47:23Z,2025-05-02T11:47:23Z,"9a2e2704-23b7-4d5b-9205-97cd3084e35d"
"Tatiana Chernyavskaya","a191bd57-612a-4bde-b39a-118144dd559f","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","tatiana-chernyavskaya-76dct","[""2200b3e4-2b2d-4bf1-8439-60ce8280bad4""]","[""2200b3e4-2b2d-4bf1-8439-60ce8280bad4""]","[""3c4917d4-7467-4fef-a6a3-af7b61b9e196"",""6c84e284-84b3-49dd-938d-3a5d8a9f7259"",""62ab648a-382e-45eb-8833-bc7f49f9b53a"",""d86d878d-d647-4b6f-8473-72550e3f34df"",""3886c659-e84d-44eb-96b9-21acc6d65a09"",""6cef96c8-0acd-4cb2-bda9-ce095d8ef111""]","[""b9a9da6d-25f2-4cac-a9cf-5e9d1775d520"",""a7830036-3287-458d-a324-cfa263c2a254"",""8aeee2b4-00f1-4813-b958-55d7596318d9"",""18163d96-26a0-441d-ae48-e7f7d0fabfb5""]","[""2200b3e4-2b2d-4bf1-8439-60ce8280bad4""]",,,,,"<p>International technical cooperation expert with 20+ years of project management experience in industrial development, public-private partnerships, gender, circular economy, technology foresight and efficient use of resources/cleaner production.</p>
","[""77164e27-9402-4336-bc1f-84b08612a080""]","[""3a4bc570-dc6d-4630-b8bc-694b5a15ac30"",""c48dc03b-8b35-4b17-805d-d3750d17568f""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,"https://www.linkedin.com/in/tatiana-chernyavskaya-8678481/",,,,2025-05-14T09:32:24Z,2025-05-14T09:34:55Z,"ccaff008-7a6f-47bd-ac59-f3c1bd5f6b1f"
"Greta Cappellini","a1a39bd1-cc88-44df-b9d1-bd03274e2e4c","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","greta-cappellini-3hv5j","[""f3ea2e4c-84c2-4418-9686-3ba2c105da0e""]","[""f3ea2e4c-84c2-4418-9686-3ba2c105da0e""]","[""310e47a9-a0b4-44ec-b8ec-c6e01648d9f7"",""dda76cda-872f-4340-9052-b1db8dec90f8"",""133cc9da-19a4-484d-af28-63184ba197f3"",""8260e60e-4f28-4cf8-9699-8f212ac318da"",""07a42a99-bf45-48a7-bf77-764200da0bff""]","[""9fc4e030-af14-4758-b196-a6e944f572a4""]","[""f3ea2e4c-84c2-4418-9686-3ba2c105da0e""]",,,,,"<p></p>
","[""f1763107-ed68-48ce-96ee-53480a677461""]","[""c48dc03b-8b35-4b17-805d-d3750d17568f""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,"https://www.linkedin.com/in/gretacappellini/",,,,2025-10-31T14:56:46Z,2025-10-31T14:56:46Z,"c22a39e2-ebbb-431c-812d-f94096a3076d"
"Lena Tünkers","a1b0a7d4-e017-492a-a12c-375eb297831f","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","lena-tnkers-czqzt","[""66c67b05-b995-4d3e-a91b-3b8c8d5b2e97""]","[""66c67b05-b995-4d3e-a91b-3b8c8d5b2e97""]",,,"[""66c67b05-b995-4d3e-a91b-3b8c8d5b2e97""]",,,,,"<p></p>
","[""2b308a3f-8ed6-4288-88a7-2d685d3a22ba""]","[""eaafcfca-9a7c-4552-b205-ab49fab72ff4"",""2576b34f-3641-4a8f-b2d7-282af55a3efa"",""c48dc03b-8b35-4b17-805d-d3750d17568f""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2025-01-07T13:23:20Z,2025-01-07T13:23:20Z,"54a7b7d8-20be-445c-b301-57fad111d608"
